Lab No. ,pH,EC,OC,P,K,Ca,Mg,S,Zn,Fe,Mn,Cu,Leaf yield Mt/ha/yr,,,
61,5.3,0.11,0.54,6,47,4,1.2,11.3,0.448,27.8,3.3,1.105,49.67,,,
62,5.1,0.12,0.48,10,51,1.3,1,5.66,0.929,20.387,38.712,2.174,49.92,,,
63,5.1,0.13,0.27,7,69,2.4,0.1,7.7,0.267,11.962,10.462,0.418,47.21,,,
64,5.2,0.11,0.87,16,52,1.3,1,16.2,2.74,10.012,16.187,2.705,50.67,,,
65,5.6,0.1,1.13,9,198,1.7,0.8,14.1,0.511,10.512,4.275,1.269,54.67,,,
66,5.3,0.12,1.7,8,150,2.4,0.2,8.49,0.341,17.375,12.287,0.942,50.36,,,
67,5.3,0.9,1.38,8,82,2.7,0.9,8.49,0.531,27.61,27.587,1.716,50.92,,,
68,5.5,0.11,0.83,10,56,1.6,0.6,6.37,0.551,26.5,20.6,1.956,50.96,,,
69,5.4,0.1,0.75,12,69,1.3,1.2,0.7,0.177,9.312,6.28,0.426,50.76,,,
70,5.6,0.16,0.87,15,24,1,0.2,1.41,0.359,17.175,21.237,0.724,55.12,,,
71,5.4,0.17,0.62,8,24,1.4,1,11.3,0.655,13.362,5.175,0.673,50.67,,,
72,5.3,0.12,0.87,5,71,1.9,0.7,7.7,0.911,4.562,2.975,0.459,50.23,,,
73,5.1,0.13,1.13,7,45,1.6,0.7,12,0.474,14.162,4.262,0.68,50.97,,,
74,5.2,0.11,1.13,11,50,1.2,1.2,0.7,0.238,15.9,3.962,0.689,50.69,,,
75,5.3,0.12,1.26,11,30,1.6,0.2,6.39,0.242,6.95,39.77,0.489,50.86,,,
76,5.2,0.11,1.1,8,45,1.4,1.4,7.08,0.343,10.387,2.375,0.884,50.77,,,
77,5.6,0.16,0.75,5,26,1.5,0.6,7.7,0.188,6.912,38.06,0.416,55.21,,,
78,5.3,0.11,0.87,7,52,1.8,0.6,11.3,0.244,11.462,3.525,0.461,51.11,,,
79,5.1,0.12,0.75,12,32,1.1,0.4,7.7,0.101,3.725,4.812,0.112,49.97,,,
80,5.3,0.13,0.37,8,52,1.5,0.1,8.49,0.126,8.287,3.487,0.216,49.67,,,
81,5.6,0.16,1.1,8,120,2.2,0.4,14.8,0.158,13.35,5.025,0.301,55.12,,,
82,5.5,0.17,1.26,10,73,1.3,0.4,11.3,0.303,7.2,5.125,0.69,51.21,,,
83,5.2,0.18,0.87,7,82,1.5,0.3,10.6,0.804,14.675,5.188,0.433,51.11,,,
84,6,0.22,0.82,8,54,1.3,0.3,3.54,0.302,22.825,3.95,0.837,55.36,,,
85,5.5,0.23,0.67,6,26,1.9,0.8,0.7,0.592,5.2,3.362,0.463,50.86,,,
86,5.5,0.24,0.61,5,32,0.6,0.3,7.7,0.224,14.737,8.137,3.259,51.23,,,
87,5.4,0.22,1.38,9,41,1.1,0.4,12,0.519,16.112,4.887,0.614,50.36,,,
88,5.3,0.23,0.87,6,127,1.8,0.7,14.8,0.657,15.2,5.45,0.937,49.89,,,
89,5.1,0.24,0.87,5,54,1.1,0.5,19.82,1.108,18.925,27.962,1.192,48.97,,,
90,5.1,0.25,0.37,10,56,0.8,0.3,16.2,1.108,3.925,2.462,0.191,47.2,,,
91,5.7,0.26,1.01,7,60,1.9,0.9,9.2,0.664,2.75,12.637,0.19,53.69,,,
92,5.6,0.11,1.01,6,56,1.3,0.7,17.7,0.397,11.487,2.65,1.576,53.61,,,
93,5.8,0.16,1.13,8,56,1.1,0.2,26.9,0.13,7.15,7.562,0.367,54.86,,,
